Class;Value;Class_start;Class_end;
1;223;1.070000052452;1.075290154272;
2;0;1.075290154272;1.080580256091;
3;235;1.080580256091;1.085870357911;
4;303;1.085870357911;1.091160459730;
5;0;1.091160459730;1.096450561549;
6;0;1.096450561549;1.101740663369;
7;0;1.101740663369;1.107030765188;
8;0;1.107030765188;1.112320867008;
9;0;1.112320867008;1.117610968827;
10;0;1.117610968827;1.122901070647;
11;116;1.122901070647;1.128191172466;
12;0;1.128191172466;1.133481274286;
13;0;1.133481274286;1.138771376105;
14;0;1.138771376105;1.144061477925;
15;0;1.144061477925;1.149351579744;
16;0;1.149351579744;1.154641681564;
17;126;1.154641681564;1.159931783383;
18;167;1.159931783383;1.165221885203;
19;0;1.165221885203;1.170511987022;
20;111;1.170511987022;1.175802088842;
21;0;1.175802088842;1.181092190661;
22;0;1.181092190661;1.186382292481;
23;0;1.186382292481;1.191672394300;
24;0;1.191672394300;1.196962496120;
25;105;1.196962496120;1.202252597939;
26;232;1.202252597939;1.207542699759;
27;233;1.207542699759;1.212832801578;
28;0;1.212832801578;1.218122903397;
29;132;1.218122903397;1.223413005217;
30;0;1.223413005217;1.228703107036;
31;0;1.228703107036;1.233993208856;
32;0;1.233993208856;1.239283310675;
33;0;1.239283310675;1.244573412495;
34;126;1.244573412495;1.249863514314;
35;392;1.249863514314;1.255153616134;
36;395;1.255153616134;1.260443717953;
37;247;1.260443717953;1.265733819773;
38;0;1.265733819773;1.271023921592;
39;0;1.271023921592;1.276314023412;
40;297;1.276314023412;1.281604125231;
41;0;1.281604125231;1.286894227051;
42;0;1.286894227051;1.292184328870;
43;107;1.292184328870;1.297474430690;
44;0;1.297474430690;1.302764532509;
45;0;1.302764532509;1.308054634329;
46;229;1.308054634329;1.313344736148;
47;108;1.313344736148;1.318634837968;
48;0;1.318634837968;1.323924939787;
49;111;1.323924939787;1.329215041606;
50;0;1.329215041606;1.334505143426;
51;0;1.334505143426;1.339795245245;
52;129;1.339795245245;1.345085347065;
53;305;1.345085347065;1.350375448884;
54;118;1.350375448884;1.355665550704;
55;245;1.355665550704;1.360955652523;
56;0;1.360955652523;1.366245754343;
57;136;1.366245754343;1.371535856162;
58;153;1.371535856162;1.376825957982;
59;803;1.376825957982;1.382116059801;
60;232;1.382116059801;1.387406161621;
61;375;1.387406161621;1.392696263440;
62;256;1.392696263440;1.397986365260;
63;180;1.397986365260;1.403276467079;
64;202;1.403276467079;1.408566568899;
65;0;1.408566568899;1.413856670718;
66;121;1.413856670718;1.419146772538;
67;126;1.419146772538;1.424436874357;
68;101;1.424436874357;1.429726976177;
69;372;1.429726976177;1.435017077996;
70;418;1.435017077996;1.440307179816;
71;169;1.440307179816;1.445597281635;
72;102;1.445597281635;1.450887383454;
73;216;1.450887383454;1.456177485274;
74;0;1.456177485274;1.461467587093;
75;0;1.461467587093;1.466757688913;
76;244;1.466757688913;1.472047790732;
77;0;1.472047790732;1.477337892552;
78;270;1.477337892552;1.482627994371;
79;108;1.482627994371;1.487918096191;
80;414;1.487918096191;1.493208198010;
81;102;1.493208198010;1.498498299830;
82;281;1.498498299830;1.503788401649;
83;1117;1.503788401649;1.509078503469;
84;0;1.509078503469;1.514368605288;
85;0;1.514368605288;1.519658707108;
86;119;1.519658707108;1.524948808927;
87;347;1.524948808927;1.530238910747;
88;759;1.530238910747;1.535529012566;
89;1026;1.535529012566;1.540819114386;
90;0;1.540819114386;1.546109216205;
91;245;1.546109216205;1.551399318025;
92;571;1.551399318025;1.556689419844;
93;510;1.556689419844;1.561979521664;
94;0;1.561979521664;1.567269623483;
95;105;1.567269623483;1.572559725302;
96;431;1.572559725302;1.577849827122;
97;170;1.577849827122;1.583139928941;
98;0;1.583139928941;1.588430030761;
99;220;1.588430030761;1.593720132580;
100;578;1.593720132580;1.599010234400;
101;1020;1.599010234400;1.604300336219;
102;440;1.604300336219;1.609590438039;
103;377;1.609590438039;1.614880539858;
104;395;1.614880539858;1.620170641678;
105;229;1.620170641678;1.625460743497;
106;355;1.625460743497;1.630750845317;
107;217;1.630750845317;1.636040947136;
108;580;1.636040947136;1.641331048956;
109;696;1.641331048956;1.646621150775;
110;673;1.646621150775;1.651911252595;
111;885;1.651911252595;1.657201354414;
112;422;1.657201354414;1.662491456234;
113;577;1.662491456234;1.667781558053;
114;451;1.667781558053;1.673071659873;
115;236;1.673071659873;1.678361761692;
116;101;1.678361761692;1.683651863512;
117;0;1.683651863512;1.688941965331;
118;737;1.688941965331;1.694232067150;
119;1433;1.694232067150;1.699522168970;
120;0;1.699522168970;1.704812270789;
121;513;1.704812270789;1.710102372609;
122;716;1.710102372609;1.715392474428;
123;352;1.715392474428;1.720682576248;
124;107;1.720682576248;1.725972678067;
125;741;1.725972678067;1.731262779887;
126;755;1.731262779887;1.736552881706;
127;0;1.736552881706;1.741842983526;
128;733;1.741842983526;1.747133085345;
129;626;1.747133085345;1.752423187165;
130;557;1.752423187165;1.757713288984;
131;256;1.757713288984;1.763003390804;
132;911;1.763003390804;1.768293492623;
133;132;1.768293492623;1.773583594443;
134;1150;1.773583594443;1.778873696262;
135;769;1.778873696262;1.784163798082;
136;128;1.784163798082;1.789453899901;
137;438;1.789453899901;1.794744001721;
138;423;1.794744001721;1.800034103540;
139;290;1.800034103540;1.805324205360;
140;1136;1.805324205360;1.810614307179;
141;294;1.810614307179;1.815904408998;
142;1493;1.815904408998;1.821194510818;
143;560;1.821194510818;1.826484612637;
144;741;1.826484612637;1.831774714457;
145;1305;1.831774714457;1.837064816276;
146;528;1.837064816276;1.842354918096;
147;356;1.842354918096;1.847645019915;
148;318;1.847645019915;1.852935121735;
149;686;1.852935121735;1.858225223554;
150;655;1.858225223554;1.863515325374;
151;484;1.863515325374;1.868805427193;
152;611;1.868805427193;1.874095529013;
153;587;1.874095529013;1.879385630832;
154;917;1.879385630832;1.884675732652;
155;121;1.884675732652;1.889965834471;
156;471;1.889965834471;1.895255936291;
157;741;1.895255936291;1.900546038110;
158;527;1.900546038110;1.905836139930;
159;468;1.905836139930;1.911126241749;
160;0;1.911126241749;1.916416343569;
161;471;1.916416343569;1.921706445388;
162;1031;1.921706445388;1.926996547207;
163;238;1.926996547207;1.932286649027;
164;0;1.932286649027;1.937576750846;
165;463;1.937576750846;1.942866852666;
166;238;1.942866852666;1.948156954485;
167;608;1.948156954485;1.953447056305;
168;466;1.953447056305;1.958737158124;
169;0;1.958737158124;1.964027259944;
170;468;1.964027259944;1.969317361763;
171;148;1.969317361763;1.974607463583;
172;603;1.974607463583;1.979897565402;
173;247;1.979897565402;1.985187667222;
174;197;1.985187667222;1.990477769041;
175;0;1.990477769041;1.995767870861;
176;650;1.995767870861;2.001057972680;
177;411;2.001057972680;2.006348074500;
178;266;2.006348074500;2.011638176319;
179;806;2.011638176319;2.016928278139;
180;0;2.016928278139;2.022218379958;
181;855;2.022218379958;2.027508481778;
182;134;2.027508481778;2.032798583597;
183;425;2.032798583597;2.038088685417;
184;126;2.038088685417;2.043378787236;
185;260;2.043378787236;2.048668889055;
186;313;2.048668889055;2.053958990875;
187;676;2.053958990875;2.059249092694;
188;779;2.059249092694;2.064539194514;
189;758;2.064539194514;2.069829296333;
190;519;2.069829296333;2.075119398153;
191;781;2.075119398153;2.080409499972;
192;435;2.080409499972;2.085699601792;
193;576;2.085699601792;2.090989703611;
194;262;2.090989703611;2.096279805431;
195;748;2.096279805431;2.101569907250;
196;106;2.101569907250;2.106860009070;
197;0;2.106860009070;2.112150110889;
198;477;2.112150110889;2.117440212709;
199;1038;2.117440212709;2.122730314528;
200;138;2.122730314528;2.128020416348;
201;514;2.128020416348;2.133310518167;
202;107;2.133310518167;2.138600619987;
203;1293;2.138600619987;2.143890721806;
204;516;2.143890721806;2.149180823626;
205;425;2.149180823626;2.154470925445;
206;1025;2.154470925445;2.159761027265;
207;839;2.159761027265;2.165051129084;
208;589;2.165051129084;2.170341230903;
209;0;2.170341230903;2.175631332723;
210;538;2.175631332723;2.180921434542;
211;415;2.180921434542;2.186211536362;
212;0;2.186211536362;2.191501638181;
213;540;2.191501638181;2.196791740001;
214;440;2.196791740001;2.202081841820;
215;240;2.202081841820;2.207371943640;
216;434;2.207371943640;2.212662045459;
217;0;2.212662045459;2.217952147279;
218;133;2.217952147279;2.223242249098;
219;1216;2.223242249098;2.228532350918;
220;219;2.228532350918;2.233822452737;
221;623;2.233822452737;2.239112554557;
222;579;2.239112554557;2.244402656376;
223;0;2.244402656376;2.249692758196;
224;0;2.249692758196;2.254982860015;
225;572;2.254982860015;2.260272961835;
226;108;2.260272961835;2.265563063654;
227;463;2.265563063654;2.270853165474;
228;0;2.270853165474;2.276143267293;
229;332;2.276143267293;2.281433369113;
230;664;2.281433369113;2.286723470932;
231;154;2.286723470932;2.292013572751;
232;0;2.292013572751;2.297303674571;
233;259;2.297303674571;2.302593776390;
234;155;2.302593776390;2.307883878210;
235;539;2.307883878210;2.313173980029;
236;0;2.313173980029;2.318464081849;
237;0;2.318464081849;2.323754183668;
238;0;2.323754183668;2.329044285488;
239;259;2.329044285488;2.334334387307;
240;368;2.334334387307;2.339624489127;
241;482;2.339624489127;2.344914590946;
242;121;2.344914590946;2.350204692766;
243;202;2.350204692766;2.355494794585;
244;354;2.355494794585;2.360784896405;
245;262;2.360784896405;2.366074998224;
246;0;2.366074998224;2.371365100044;
247;251;2.371365100044;2.376655201863;
248;116;2.376655201863;2.381945303683;
249;0;2.381945303683;2.387235405502;
250;121;2.387235405502;2.392525507322;
251;0;2.392525507322;2.397815609141;
252;246;2.397815609141;2.403105710960;
253;422;2.403105710960;2.408395812780;
254;0;2.408395812780;2.413685914599;
255;143;2.413685914599;2.418976016419;
256;270;2.418976016419;2.424266118238;
257;145;2.424266118238;2.429556220058;
258;163;2.429556220058;2.434846321877;
259;0;2.434846321877;2.440136423697;
260;259;2.440136423697;2.445426525516;
261;0;2.445426525516;2.450716627336;
262;161;2.450716627336;2.456006729155;
263;101;2.456006729155;2.461296830975;
264;137;2.461296830975;2.466586932794;
265;0;2.466586932794;2.471877034614;
266;0;2.471877034614;2.477167136433;
267;249;2.477167136433;2.482457238253;
268;0;2.482457238253;2.487747340072;
269;0;2.487747340072;2.493037441892;
270;0;2.493037441892;2.498327543711;
271;123;2.498327543711;2.503617645531;
272;126;2.503617645531;2.508907747350;
273;0;2.508907747350;2.514197849170;
274;0;2.514197849170;2.519487950989;
275;0;2.519487950989;2.524778052808;
276;121;2.524778052808;2.530068154628;
277;0;2.530068154628;2.535358256447;
278;0;2.535358256447;2.540648358267;
279;0;2.540648358267;2.545938460086;
280;0;2.545938460086;2.551228561906;
281;455;2.551228561906;2.556518663725;
282;0;2.556518663725;2.561808765545;
283;0;2.561808765545;2.567098867364;
284;357;2.567098867364;2.572388969184;
285;0;2.572388969184;2.577679071003;
286;0;2.577679071003;2.582969172823;
287;0;2.582969172823;2.588259274642;
288;0;2.588259274642;2.593549376462;
289;135;2.593549376462;2.598839478281;
290;0;2.598839478281;2.604129580101;
291;0;2.604129580101;2.609419681920;
292;0;2.609419681920;2.614709783740;
293;223;2.614709783740;2.619999885559;
